,Theta,Rho,Temperatura,Humedad
14:00:00,5.654866776461628,0.9729461699631581,35.5,22.0
14:30:00,5.270894341022875,0.9876339734520609,35.4,23.0
15:00:00,5.358160803622591,0.9842920818223659,36.4,22.0
15:30:00,5.654866776461628,0.9865101290564581,35.9,22.0
16:00:00,5.253441048502932,0.9656349315632712,35.3,21.0
16:30:00,5.515240436302081,0.9678053285153732,36.7,19.0
17:00:00,5.078908123303499,0.9767663243723054,36.8,18.0
17:30:00,5.497787143782138,0.9767663243723054,36.9,18.0
18:00:00,5.113814708343385,0.9408128620114993,36.9,18.0
18:30:00,5.480333851262195,0.9729461699631581,36.7,18.0
19:00:00,5.218534463463046,0.9625117788337014,36.6,17.0
19:30:00,5.846852994181004,0.9295659630795295,36.8,16.0
20:00:00,2.199114857512855,0.9044998064590216,31.5,44.0
20:30:00,2.3038346126325147,0.9563478469757212,29.7,50.0
21:00:00,2.234021442552742,0.9295659630795295,28.4,51.0
21:30:00,2.251474735072685,0.9044998064590216,27.5,52.0
22:00:00,2.2689280275926285,0.8587450931421039,26.9,52.0
